ClassName,Start,End,Location,ClassID,Date
Zumba,2022-01-31 17:20:00,2022-01-31 18:10:00,Ngaio Marsh Theatre,b95133d8-e900-4077-a855-5e923514dddb,2022-01-31 17:20:00
Pump,2022-01-31 18:20:00,2022-01-31 19:10:00,Theatre - Jack Mann,13267ffd-7941-451d-9ff5-1eb16d45bd80,2022-01-31 18:20:00
